kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | group = bicicletta
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 0, key = null, value = Test Message #0 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 1, key = null, value = Test Message #2 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 2, key = null, value = Test Message #4 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 3, key = null, value = Test Message #6 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 4, key = null, value = Test Message #8 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 5, key = null, value = Test Message #10 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 6, key = null, value = Test Message #12 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 7, key = null, value = Test Message #14 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 8, key = null, value = Test Message #16 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 9, key = null, value = Test Message #18 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 10, key = null, value = Test Message #20 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 11, key = null, value = Test Message #22 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 12, key = null, value = Test Message #24 Filtered
